primary_type,beat,year,count,direction,lambda
KIDNAPPING,1613,2002,3,high,0
KIDNAPPING,1613,2002,3,low,0
CRIMINAL DAMAGE,1614,2005,25,high,0
CRIMINAL DAMAGE,1614,2005,25,low,0
ROBBERY,2422,2008,96,high,0
ROBBERY,2422,2008,96,low,0
ARSON,2431,2013,1,high,0
ARSON,2431,2013,1,low,0
LIQUOR LAW VIOLATION,2431,2005,13,high,0
LIQUOR LAW VIOLATION,2431,2005,13,low,0
ROBBERY,2423,2016,13,high,0
ROBBERY,2423,2016,13,low,0
CRIMINAL DAMAGE,2432,2013,156,high,0
CRIMINAL DAMAGE,2432,2013,156,low,0
NARCOTICS,1612,2010,6,high,0
NARCOTICS,1612,2010,6,low,0
LIQUOR LAW VIOLATION,2432,2006,7,high,0
LIQUOR LAW VIOLATION,2432,2006,7,low,0
ASSAULT,2423,2017,18,high,0
ASSAULT,2423,2017,18,low,0
ASSAULT,2432,2010,137,high,0
ASSAULT,2432,2010,137,low,0
ASSAULT,2431,2012,31,high,0
ASSAULT,2431,2012,31,low,0
NARCOTICS,2432,2014,26,high,0
NARCOTICS,2432,2014,26,low,0
ROBBERY,2424,2011,85,high,0
ROBBERY,2424,2011,85,low,0
ASSAULT,1622,2014,7,high,0
ASSAULT,1622,2014,7,low,0
BURGLARY,2423,2008,64,high,0
BURGLARY,2423,2008,64,low,0
BURGLARY,2431,2007,21,high,0
BURGLARY,2431,2007,21,low,0
ARSON,2422,2007,1,high,0
ARSON,2422,2007,1,low,0
CRIMINAL DAMAGE,1613,2012,130,high,0
CRIMINAL DAMAGE,1613,2012,130,low,0
INTERFERENCE WITH PUBLIC OFFICER,2424,2010,3,high,0
INTERFERENCE WITH PUBLIC OFFICER,2424,2010,3,low,0
BURGLARY,1622,2012,9,high,0
BURGLARY,1622,2012,9,low,0
ROBBERY,2424,2006,25,high,0
ROBBERY,2424,2006,25,low,0
BURGLARY,1611,2010,43,high,0
BURGLARY,1611,2010,43,low,0
CRIMINAL DAMAGE,2431,2004,199,high,0
CRIMINAL DAMAGE,2431,2004,199,low,0
ASSAULT,1611,2015,10,high,0
ASSAULT,1611,2015,10,low,0
LIQUOR LAW VIOLATION,2432,2015,8,high,0
LIQUOR LAW VIOLATION,2432,2015,8,low,0
ROBBERY,2431,2006,50,high,0
ROBBERY,2431,2006,50,low,0
INTIMIDATION,2422,2002,2,high,0
INTIMIDATION,2422,2002,2,low,0
INTERFERENCE WITH PUBLIC OFFICER,2431,2013,1,high,0
INTERFERENCE WITH PUBLIC OFFICER,2431,2013,1,low,0
CRIMINAL DAMAGE,1614,2007,14,high,0
CRIMINAL DAMAGE,1614,2007,14,low,0
CRIMINAL DAMAGE,1611,2003,103,high,0
CRIMINAL DAMAGE,1611,2003,103,low,0
CRIMINAL DAMAGE,2423,2014,33,high,0
CRIMINAL DAMAGE,2423,2014,33,low,0
KIDNAPPING,1613,2010,3,high,0
KIDNAPPING,1613,2010,3,low,0
ASSAULT,2423,2008,73,high,0
ASSAULT,2423,2008,73,low,0
ROBBERY,2423,2013,50,high,0
ROBBERY,2423,2013,50,low,0
ASSAULT,1611,2012,28,high,0
ASSAULT,1611,2012,28,low,0
ASSAULT,1614,2011,9,high,0
ASSAULT,1614,2011,9,low,0
ROBBERY,2422,2016,16,high,0
ROBBERY,2422,2016,16,low,0
PROSTITUTION,2424,2007,16,high,0
PROSTITUTION,2424,2007,16,low,0
BURGLARY,2423,2016,23,high,0
BURGLARY,2423,2016,23,low,0
ASSAULT,2432,2007,29,high,0
ASSAULT,2432,2007,29,low,0
ASSAULT,1622,2010,5,high,0
ASSAULT,1622,2010,5,low,0
CRIMINAL DAMAGE,1612,2002,118,high,0
CRIMINAL DAMAGE,1612,2002,118,low,0
CRIMINAL DAMAGE,2424,2016,173,high,0
CRIMINAL DAMAGE,2424,2016,173,low,0
BURGLARY,2431,2016,59,high,0
BURGLARY,2431,2016,59,low,0
NARCOTICS,2432,2012,83,high,0
NARCOTICS,2432,2012,83,low,0
ROBBERY,2432,2016,13,high,0
ROBBERY,2432,2016,13,low,0
NARCOTICS,1611,2015,1,high,0
NARCOTICS,1611,2015,1,low,0
CRIMINAL DAMAGE,2423,2016,72,high,0
CRIMINAL DAMAGE,2423,2016,72,low,0
BURGLARY,2424,2013,22,high,0
BURGLARY,2424,2013,22,low,0
NARCOTICS,2424,2011,167,high,0
NARCOTICS,2424,2011,167,low,0
ASSAULT,1612,2010,8,high,0
ASSAULT,1612,2010,8,low,0
INTERFERENCE WITH PUBLIC OFFICER,1613,2012,1,high,0
INTERFERENCE WITH PUBLIC OFFICER,1613,2012,1,low,0
NARCOTICS,1612,2011,28,high,0
NARCOTICS,1612,2011,28,low,0
INTERFERENCE WITH PUBLIC OFFICER,2431,2009,5,high,0
INTERFERENCE WITH PUBLIC OFFICER,2431,2009,5,low,0
CRIMINAL DAMAGE,2431,2005,53,high,0
CRIMINAL DAMAGE,2431,2005,53,low,0
NARCOTICS,2423,2009,28,high,0
NARCOTICS,2423,2009,28,low,0
